xiphophorus_groups/OG0000213.fa:1:>sp|P40305|IFI27_HUMAN
xiphophorus_groups/OG0003044.fa:1:>sp|P26440|IVD_HUMAN
xiphophorus_groups/OG0003044.fa:10:>sp|Q9JHI5|IVD_MOUSE
xiphophorus_groups/OG0003057.fa:1:>sp|O75323|NIPS2_HUMAN
xiphophorus_groups/OG0003057.fa:7:>sp|O55126|NIPS2_MOUSE
xiphophorus_groups/OG0003066.fa:1:>sp|Q99714|HCD2_HUMAN
xiphophorus_groups/OG0003066.fa:7:>sp|O08756|HCD2_MOUSE
xiphophorus_groups/OG0003078.fa:1:>sp|Q8NI37|PPTC7_HUMAN
xiphophorus_groups/OG0003078.fa:8:>sp|Q6NVE9|PPTC7_MOUSE
xiphophorus_groups/OG0003162.fa:1:>sp|Q99623|PHB2_HUMAN
xiphophorus_groups/OG0003162.fa:7:>sp|O35129|PHB2_MOUSE
xiphophorus_groups/OG0003188.fa:1:>sp|Q9Y6H1|CHCH2_HUMAN
xiphophorus_groups/OG0003188.fa:9:>sp|Q9D1L0|CHCH2_MOUSE
xiphophorus_groups/OG0003244.fa:1:>sp|Q96DW6|S2538_HUMAN
xiphophorus_groups/OG0003244.fa:8:>sp|Q91XD8|S2538_MOUSE
xiphophorus_groups/OG0003254.fa:1:>sp|Q9BRQ6|MIC25_HUMAN
xiphophorus_groups/OG0003254.fa:6:>sp|Q91VN4|MIC25_MOUSE
xiphophorus_groups/OG0003303.fa:1:>sp|Q96GK7|FAH2A_HUMAN
xiphophorus_groups/OG0003303.fa:15:>sp|Q3TC72|FAHD2_MOUSE
xiphophorus_groups/OG0003351.fa:1:>sp|P28838|AMPL_HUMAN
xiphophorus_groups/OG0003351.fa:11:>sp|Q9CPY7|AMPL_MOUSE
xiphophorus_groups/OG0003367.fa:1:>sp|Q6UW68|TM205_HUMAN
xiphophorus_groups/OG0003367.fa:6:>sp|Q91XE8|TM205_MOUSE
xiphophorus_groups/OG0003389.fa:1:>sp|P49914|MTHFS_HUMAN
xiphophorus_groups/OG0003389.fa:6:>tr|L7N466|L7N466_MOUSE
xiphophorus_groups/OG0003389.fa:11:>sp|Q9D110|MTHFS_MOUSE
xiphophorus_groups/OG0003411.fa:1:>sp|P0C7P0|CISD3_HUMAN
xiphophorus_groups/OG0003411.fa:5:>sp|B1AR13|CISD3_MOUSE
xiphophorus_groups/OG0003426.fa:1:>sp|P51553|IDH3G_HUMAN
xiphophorus_groups/OG0003426.fa:17:>sp|P70404|IDHG1_MOUSE
xiphophorus_groups/OG0003431.fa:1:>sp|Q96AY3|FKB10_HUMAN
xiphophorus_groups/OG0003431.fa:12:>sp|Q61576|FKB10_MOUSE
xiphophorus_groups/OG0003443.fa:1:>sp|P99999|CYC_HUMAN
xiphophorus_groups/OG0003443.fa:4:>sp|P62897|CYC_MOUSE
xiphophorus_groups/OG0003443.fa:7:>sp|P00015|CYC2_MOUSE
xiphophorus_groups/OG0003474.fa:1:>sp|P53396|ACLY_HUMAN
xiphophorus_groups/OG0003474.fa:21:>sp|Q91V92|ACLY_MOUSE
xiphophorus_groups/OG0003532.fa:1:>sp|P34897|GLYM_HUMAN
xiphophorus_groups/OG0003532.fa:11:>sp|Q9CZN7|GLYM_MOUSE
xiphophorus_groups/OG0003533.fa:1:>sp|P36957|ODO2_HUMAN
xiphophorus_groups/OG0003533.fa:10:>sp|Q9D2G2|ODO2_MOUSE
xiphophorus_groups/OG0003535.fa:1:>sp|P48201|AT5G3_HUMAN
xiphophorus_groups/OG0003535.fa:5:>sp|P56384|AT5G3_MOUSE
xiphophorus_groups/OG0003571.fa:1:>sp|Q9UK39|NOCT_HUMAN
xiphophorus_groups/OG0003571.fa:10:>sp|O35710|NOCT_MOUSE
xiphophorus_groups/OG0003582.fa:1:>sp|Q86VD7|S2542_HUMAN
xiphophorus_groups/OG0003582.fa:8:>sp|Q8R0Y8|S2542_MOUSE
xiphophorus_groups/OG0003585.fa:1:>sp|Q8WWV3|RT4I1_HUMAN
xiphophorus_groups/OG0003585.fa:9:>sp|Q924D0|RT4I1_MOUSE
xiphophorus_groups/OG0003597.fa:1:>sp|Q8WV93|AFG1L_HUMAN
xiphophorus_groups/OG0003597.fa:11:>sp|Q3V384|AFG1L_MOUSE
xiphophorus_groups/OG0003626.fa:1:>sp|P49189|AL9A1_HUMAN
xiphophorus_groups/OG0003626.fa:11:>sp|Q9JLJ2|AL9A1_MOUSE
xiphophorus_groups/OG0003636.fa:1:>sp|Q7Z7K0|COXM1_HUMAN
xiphophorus_groups/OG0003636.fa:4:>sp|Q9CPZ8|COXM1_MOUSE
xiphophorus_groups/OG0003688.fa:1:>sp|Q16774|KGUA_HUMAN
xiphophorus_groups/OG0003688.fa:6:>sp|Q64520|KGUA_MOUSE
xiphophorus_groups/OG0003709.fa:1:>sp|Q96GC5|RM48_HUMAN
xiphophorus_groups/OG0003709.fa:6:>sp|Q8JZS9|RM48_MOUSE
xiphophorus_groups/OG0003717.fa:1:>sp|P10176|COX8A_HUMAN
xiphophorus_groups/OG0003717.fa:4:>sp|Q64445|COX8A_MOUSE
xiphophorus_groups/OG0003717.fa:7:>sp|P48772|COX8B_MOUSE
xiphophorus_groups/OG0003736.fa:1:>sp|Q9NRD5|PICK1_HUMAN
xiphophorus_groups/OG0003736.fa:9:>sp|Q62083|PICK1_MOUSE
xiphophorus_groups/OG0003756.fa:1:>sp|Q9BXW6|OSBL1_HUMAN
xiphophorus_groups/OG0003756.fa:18:>sp|Q91XL9|OSBL1_MOUSE
xiphophorus_groups/OG0003769.fa:1:>sp|Q9NVH1|DJC11_HUMAN
xiphophorus_groups/OG0003769.fa:12:>sp|Q5U458|DJC11_MOUSE
xiphophorus_groups/OG0003780.fa:4:>sp|Q9BW72|HIG2A_HUMAN
xiphophorus_groups/OG0003780.fa:7:>sp|Q9CQJ1|HIG2A_MOUSE
xiphophorus_groups/OG0003799.fa:3:>sp|P56381|ATP5E_HUMAN
xiphophorus_groups/OG0003799.fa:5:>sp|P56382|ATP5E_MOUSE
xiphophorus_groups/OG0003811.fa:1:>sp|Q86VU5|CMTD1_HUMAN
xiphophorus_groups/OG0003811.fa:7:>sp|Q8BIG7|CMTD1_MOUSE
xiphophorus_groups/OG0003819.fa:1:>sp|O14925|TIM23_HUMAN
xiphophorus_groups/OG0003819.fa:11:>sp|Q9WTQ8|TIM23_MOUSE
xiphophorus_groups/OG0003841.fa:1:>sp|P09110|THIK_HUMAN
xiphophorus_groups/OG0003841.fa:10:>sp|Q8VCH0|THIKB_MOUSE
xiphophorus_groups/OG0003841.fa:19:>sp|Q921H8|THIKA_MOUSE
xiphophorus_groups/OG0003850.fa:1:>sp|Q9Y3B1|PLD3B_HUMAN
xiphophorus_groups/OG0003850.fa:6:>sp|Q9CYY7|PLD3B_MOUSE
xiphophorus_groups/OG0003851.fa:1:>sp|O00483|NDUA4_HUMAN
xiphophorus_groups/OG0003851.fa:4:>sp|Q62425|NDUA4_MOUSE
xiphophorus_groups/OG0003864.fa:1:>sp|P21549|SPYA_HUMAN
xiphophorus_groups/OG0003864.fa:9:>sp|O35423|SPYA_MOUSE
xiphophorus_groups/OG0003867.fa:1:>sp|P56556|NDUA6_HUMAN
xiphophorus_groups/OG0003867.fa:5:>sp|Q9CQZ5|NDUA6_MOUSE
xiphophorus_groups/OG0003894.fa:1:>sp|O43677|NDUC1_HUMAN
xiphophorus_groups/OG0003894.fa:4:>sp|Q9CQY9|NDUC1_MOUSE
xiphophorus_groups/OG0003904.fa:1:>sp|Q99551|MTEF1_HUMAN
xiphophorus_groups/OG0003904.fa:9:>sp|Q8CHZ9|MTF1A_MOUSE
xiphophorus_groups/OG0003904.fa:17:>sp|B9EJ57|MTF1B_MOUSE
xiphophorus_groups/OG0003907.fa:1:>sp|O60238|BNI3L_HUMAN
xiphophorus_groups/OG0003907.fa:6:>sp|Q9Z2F7|BNI3L_MOUSE
xiphophorus_groups/OG0003918.fa:1:>sp|P25705|ATPA_HUMAN
xiphophorus_groups/OG0003918.fa:12:>sp|Q03265|ATPA_MOUSE
xiphophorus_groups/OG0003922.fa:1:>sp|Q96BQ5|CC127_HUMAN
xiphophorus_groups/OG0003922.fa:7:>sp|Q3TC33|CC127_MOUSE
xiphophorus_groups/OG0003932.fa:1:>sp|Q8IXI2|MIRO1_HUMAN
xiphophorus_groups/OG0003932.fa:13:>sp|Q8BG51|MIRO1_MOUSE
xiphophorus_groups/OG0003944.fa:1:>sp|Q9NQH7|XPP3_HUMAN
xiphophorus_groups/OG0003944.fa:11:>sp|B7ZMP1|XPP3_MOUSE
xiphophorus_groups/OG0003960.fa:1:>sp|P00387|NB5R3_HUMAN
xiphophorus_groups/OG0003960.fa:8:>sp|Q9DCN2|NB5R3_MOUSE
xiphophorus_groups/OG0003965.fa:1:>sp|Q9C002|NMES1_HUMAN
xiphophorus_groups/OG0003965.fa:4:>sp|Q810Q5|NMES1_MOUSE
xiphophorus_groups/OG0003974.fa:1:>sp|Q08257|QOR_HUMAN
xiphophorus_groups/OG0003974.fa:8:>sp|Q3UNZ8|QORL2_MOUSE
xiphophorus_groups/OG0003974.fa:15:>sp|P47199|QOR_MOUSE
xiphophorus_groups/OG0003995.fa:1:>sp|P54886|P5CS_HUMAN
xiphophorus_groups/OG0003995.fa:16:>sp|Q9Z110|P5CS_MOUSE
xiphophorus_groups/OG0003999.fa:1:>sp|Q8IWA4|MFN1_HUMAN
xiphophorus_groups/OG0003999.fa:15:>sp|Q811U4|MFN1_MOUSE
xiphophorus_groups/OG0004040.fa:1:>sp|Q9HAV7|GRPE1_HUMAN
xiphophorus_groups/OG0004040.fa:6:>sp|Q99LP6|GRPE1_MOUSE
xiphophorus_groups/OG0004041.fa:1:>sp|Q9HCC0|MCCB_HUMAN
xiphophorus_groups/OG0004041.fa:12:>sp|Q3ULD5|MCCB_MOUSE
xiphophorus_groups/OG0004073.fa:1:>sp|Q8N3J5|PPM1K_HUMAN
xiphophorus_groups/OG0004073.fa:9:>sp|Q8BXN7|PPM1K_MOUSE
xiphophorus_groups/OG0004077.fa:1:>sp|O14561|ACPM_HUMAN
xiphophorus_groups/OG0004077.fa:5:>sp|Q9CR21|ACPM_MOUSE
xiphophorus_groups/OG0004132.fa:1:>sp|Q96HJ9|FMC1_HUMAN
xiphophorus_groups/OG0004132.fa:4:>sp|Q9CR13|FMC1_MOUSE
xiphophorus_groups/OG0004144.fa:1:>sp|Q8NFU3|TSTD1_HUMAN
xiphophorus_groups/OG0004144.fa:4:>tr|E9PY03|E9PY03_MOUSE
xiphophorus_groups/OG0004191.fa:1:>sp|O96008|TOM40_HUMAN
xiphophorus_groups/OG0004191.fa:9:>sp|Q9QYA2|TOM40_MOUSE
xiphophorus_groups/OG0004201.fa:1:>sp|O75521|ECI2_HUMAN
xiphophorus_groups/OG0004201.fa:9:>sp|Q9WUR2|ECI2_MOUSE
xiphophorus_groups/OG0004212.fa:1:>sp|Q9NR28|DBLOH_HUMAN
xiphophorus_groups/OG0004212.fa:6:>sp|Q9JIQ3|DBLOH_MOUSE
xiphophorus_groups/OG0004213.fa:1:>sp|Q9NX14|NDUBB_HUMAN
xiphophorus_groups/OG0004213.fa:5:>sp|O09111|NDUBB_MOUSE
xiphophorus_groups/OG0004215.fa:1:>sp|P31937|3HIDH_HUMAN
xiphophorus_groups/OG0004215.fa:8:>sp|Q99L13|3HIDH_MOUSE
xiphophorus_groups/OG0004216.fa:1:>sp|P48735|IDHP_HUMAN
xiphophorus_groups/OG0004216.fa:10:>sp|P54071|IDHP_MOUSE
xiphophorus_groups/OG0004222.fa:1:>sp|Q8WWC4|MAIP1_HUMAN
xiphophorus_groups/OG0004222.fa:7:>sp|Q8BHE8|MAIP1_MOUSE
xiphophorus_groups/OG0004231.fa:1:>sp|Q07812|BAX_HUMAN
xiphophorus_groups/OG0004231.fa:6:>sp|Q07813|BAX_MOUSE
xiphophorus_groups/OG0004247.fa:1:>sp|Q9BXK5|B2L13_HUMAN
xiphophorus_groups/OG0004247.fa:11:>sp|P59017|B2L13_MOUSE
xiphophorus_groups/OG0004255.fa:1:>sp|P30536|TSPO_HUMAN
xiphophorus_groups/OG0004255.fa:5:>sp|P50637|TSPO_MOUSE
xiphophorus_groups/OG0004298.fa:1:>sp|Q9BVL4|SELO_HUMAN
xiphophorus_groups/OG0004298.fa:14:>sp|Q9DBC0|SELO_MOUSE
xiphophorus_groups/OG0004314.fa:1:>sp|O75390|CISY_HUMAN
xiphophorus_groups/OG0004314.fa:10:>tr|Q80X68|Q80X68_MOUSE
xiphophorus_groups/OG0004314.fa:19:>sp|Q9CZU6|CISY_MOUSE
xiphophorus_groups/OG0004322.fa:1:>sp|O43272|PROD_HUMAN
xiphophorus_groups/OG0004322.fa:12:>sp|Q9WU79|PROD_MOUSE
xiphophorus_groups/OG0004324.fa:1:>sp|P52758|RIDA_HUMAN
xiphophorus_groups/OG0004324.fa:5:>sp|P52760|RIDA_MOUSE
xiphophorus_groups/OG0004340.fa:1:>sp|Q96T52|IMP2L_HUMAN
xiphophorus_groups/OG0004340.fa:5:>sp|Q8BPT6|IMP2L_MOUSE
xiphophorus_groups/OG0004346.fa:1:>sp|Q02221|CX6A2_HUMAN
xiphophorus_groups/OG0004346.fa:4:>sp|P43023|CX6A2_MOUSE
xiphophorus_groups/OG0004350.fa:1:>sp|P18859|ATP5J_HUMAN
xiphophorus_groups/OG0004350.fa:4:>sp|P97450|ATP5J_MOUSE
xiphophorus_groups/OG0004362.fa:1:>sp|Q8TD22|SFXN5_HUMAN
xiphophorus_groups/OG0004362.fa:8:>sp|Q925N0|SFXN5_MOUSE
xiphophorus_groups/OG0004379.fa:1:>sp|O75439|MPPB_HUMAN
xiphophorus_groups/OG0004379.fa:11:>sp|Q9CXT8|MPPB_MOUSE
xiphophorus_groups/OG0004386.fa:1:>sp|Q9BUT9|MCRI2_HUMAN
xiphophorus_groups/OG0004386.fa:5:>sp|Q9CQB2|MCRI2_MOUSE
xiphophorus_groups/OG0004439.fa:1:>sp|Q13472|TOP3A_HUMAN
xiphophorus_groups/OG0004439.fa:19:>sp|O70157|TOP3A_MOUSE
xiphophorus_groups/OG0004521.fa:1:>sp|Q9NXA8|SIR5_HUMAN
xiphophorus_groups/OG0004521.fa:8:>sp|Q8K2C6|SIR5_MOUSE
xiphophorus_groups/OG0004524.fa:1:>sp|P55789|ALR_HUMAN
xiphophorus_groups/OG0004524.fa:6:>sp|P56213|ALR_MOUSE
xiphophorus_groups/OG0004712.fa:1:>sp|Q9NUJ1|ABHDA_HUMAN
xiphophorus_groups/OG0004712.fa:8:>sp|Q6PE15|ABHDA_MOUSE
xiphophorus_groups/OG0004715.fa:1:>sp|Q9Y6E7|SIR4_HUMAN
xiphophorus_groups/OG0004715.fa:8:>sp|Q8R216|SIR4_MOUSE
xiphophorus_groups/OG0004734.fa:1:>sp|Q7L0Y3|TM10C_HUMAN
xiphophorus_groups/OG0004734.fa:9:>sp|Q3UFY8|TM10C_MOUSE
xiphophorus_groups/OG0004737.fa:1:>sp|Q8N9F0|NAT8L_HUMAN
xiphophorus_groups/OG0004737.fa:8:>sp|Q3UGX3|NAT8L_MOUSE
xiphophorus_groups/OG0004740.fa:1:>sp|Q8WV74|NUDT8_HUMAN
xiphophorus_groups/OG0004740.fa:6:>sp|Q9CR24|NUDT8_MOUSE
xiphophorus_groups/OG0004744.fa:1:>sp|Q9HA77|SYCM_HUMAN
xiphophorus_groups/OG0004744.fa:12:>sp|Q8BYM8|SYCM_MOUSE
xiphophorus_groups/OG0004750.fa:1:>sp|Q9NZJ6|COQ3_HUMAN
xiphophorus_groups/OG0004750.fa:9:>sp|Q8BMS4|COQ3_MOUSE
xiphophorus_groups/OG0004762.fa:1:>sp|P17152|TMM11_HUMAN
xiphophorus_groups/OG0004762.fa:6:>sp|Q8BK08|TMM11_MOUSE
xiphophorus_groups/OG0004764.fa:1:>sp|P49247|RPIA_HUMAN
xiphophorus_groups/OG0004764.fa:8:>sp|P47968|RPIA_MOUSE
xiphophorus_groups/OG0004774.fa:1:>sp|Q86TW2|ADCK1_HUMAN
xiphophorus_groups/OG0004774.fa:11:>sp|Q9D0L4|ADCK1_MOUSE
xiphophorus_groups/OG0004782.fa:1:>sp|Q8TAE8|G45IP_HUMAN
xiphophorus_groups/OG0004782.fa:6:>sp|Q9CR59|G45IP_MOUSE
xiphophorus_groups/OG0004784.fa:1:>sp|Q8TCS8|PNPT1_HUMAN
xiphophorus_groups/OG0004784.fa:16:>sp|Q8K1R3|PNPT1_MOUSE
xiphophorus_groups/OG0004823.fa:1:>sp|Q96E11|RRFM_HUMAN
xiphophorus_groups/OG0004823.fa:7:>sp|Q9D6S7|RRFM_MOUSE
xiphophorus_groups/OG0004825.fa:1:>sp|Q96EH3|MASU1_HUMAN
xiphophorus_groups/OG0004825.fa:6:>sp|Q9CWV0|MASU1_MOUSE
xiphophorus_groups/OG0004833.fa:1:>sp|Q9BVV7|TIM21_HUMAN
xiphophorus_groups/OG0004833.fa:7:>sp|Q8CCM6|TIM21_MOUSE
xiphophorus_groups/OG0004835.fa:1:>sp|Q9NYZ2|MFRN1_HUMAN
xiphophorus_groups/OG0004835.fa:8:>sp|Q920G8|MFRN1_MOUSE
xiphophorus_groups/OG0004839.fa:1:>sp|O43572|AKA10_HUMAN
xiphophorus_groups/OG0004839.fa:14:>sp|O88845|AKA10_MOUSE
xiphophorus_groups/OG0004863.fa:1:>sp|Q8N5G0|SIM20_HUMAN
xiphophorus_groups/OG0004863.fa:4:>sp|D3Z7Q2|SIM20_MOUSE
xiphophorus_groups/OG0004883.fa:1:>sp|O43766|LIAS_HUMAN
xiphophorus_groups/OG0004883.fa:9:>sp|Q99M04|LIAS_MOUSE
xiphophorus_groups/OG0004943.fa:1:>sp|Q330K2|NDUF6_HUMAN
xiphophorus_groups/OG0004943.fa:8:>sp|A2AIL4|NDUF6_MOUSE
xiphophorus_groups/OG0004944.fa:1:>sp|Q567V2|M17L2_HUMAN
xiphophorus_groups/OG0004944.fa:6:>sp|Q8VIK2|M17L2_MOUSE
xiphophorus_groups/OG0004956.fa:1:>sp|Q9BUR5|MIC26_HUMAN
xiphophorus_groups/OG0004956.fa:6:>sp|Q9DCZ4|MIC26_MOUSE
xiphophorus_groups/OG0004959.fa:1:>sp|Q9Y276|BCS1_HUMAN
xiphophorus_groups/OG0004959.fa:9:>sp|Q9CZP5|BCS1_MOUSE
xiphophorus_groups/OG0004968.fa:1:>sp|P54819|KAD2_HUMAN
xiphophorus_groups/OG0004968.fa:6:>sp|Q9WTP6|KAD2_MOUSE
xiphophorus_groups/OG0004981.fa:1:>sp|Q8IXI1|MIRO2_HUMAN
xiphophorus_groups/OG0004981.fa:13:>sp|Q8JZN7|MIRO2_MOUSE
xiphophorus_groups/OG0004984.fa:1:>sp|Q96DB5|RMD1_HUMAN
xiphophorus_groups/OG0004984.fa:8:>sp|Q9DCV4|RMD1_MOUSE
xiphophorus_groups/OG0004988.fa:1:>sp|Q9BQP7|MGME1_HUMAN
xiphophorus_groups/OG0004988.fa:8:>sp|Q9CXC3|MGME1_MOUSE
xiphophorus_groups/OG0005012.fa:1:>sp|P48047|ATPO_HUMAN
xiphophorus_groups/OG0005012.fa:6:>sp|Q9DB20|ATPO_MOUSE
xiphophorus_groups/OG0005015.fa:1:>sp|P55957|BID_HUMAN
xiphophorus_groups/OG0005015.fa:6:>sp|P70444|BID_MOUSE
xiphophorus_groups/OG0005035.fa:1:>sp|Q96LJ7|DHRS1_HUMAN
xiphophorus_groups/OG0005035.fa:8:>sp|Q99L04|DHRS1_MOUSE
xiphophorus_groups/OG0005038.fa:1:>sp|Q9H300|PARL_HUMAN
xiphophorus_groups/OG0005038.fa:9:>sp|Q5XJY4|PARL_MOUSE
xiphophorus_groups/OG0005053.fa:1:>sp|P51970|NDUA8_HUMAN
xiphophorus_groups/OG0005053.fa:5:>sp|Q9DCJ5|NDUA8_MOUSE
xiphophorus_groups/OG0005060.fa:1:>sp|Q5TGZ0|MIC10_HUMAN
xiphophorus_groups/OG0005060.fa:4:>sp|Q7TNS2|MIC10_MOUSE
xiphophorus_groups/OG0005061.fa:1:>sp|Q5VTE6|ANGE2_HUMAN
xiphophorus_groups/OG0005061.fa:12:>sp|Q8K1C0|ANGE2_MOUSE
xiphophorus_groups/OG0005075.fa:1:>sp|Q99807|COQ7_HUMAN
xiphophorus_groups/OG0005075.fa:6:>sp|P97478|COQ7_MOUSE
xiphophorus_groups/OG0005088.fa:1:>sp|Q9UQ90|SPG7_HUMAN
xiphophorus_groups/OG0005088.fa:16:>sp|Q3ULF4|SPG7_MOUSE
xiphophorus_groups/OG0005096.fa:1:>sp|O15528|CP27B_HUMAN
xiphophorus_groups/OG0005096.fa:11:>sp|O35084|CP27B_MOUSE
xiphophorus_groups/OG0005099.fa:1:>sp|O95182|NDUA7_HUMAN
xiphophorus_groups/OG0005099.fa:4:>sp|Q9Z1P6|NDUA7_MOUSE
xiphophorus_groups/OG0005103.fa:1:>sp|P23919|KTHY_HUMAN
xiphophorus_groups/OG0005119.fa:1:>sp|Q7Z434|MAVS_HUMAN
xiphophorus_groups/OG0005119.fa:11:>sp|Q8VCF0|MAVS_MOUSE
xiphophorus_groups/OG0005125.fa:1:>sp|Q8N465|D2HDH_HUMAN
xiphophorus_groups/OG0005125.fa:11:>sp|Q8CIM3|D2HDH_MOUSE
xiphophorus_groups/OG0005143.fa:1:>sp|Q9Y2S7|PDIP2_HUMAN
xiphophorus_groups/OG0005143.fa:9:>sp|Q91VA6|PDIP2_MOUSE
xiphophorus_groups/OG0005163.fa:1:>sp|Q56VL3|OCAD2_HUMAN
xiphophorus_groups/OG0005163.fa:5:>sp|Q9D8W7|OCAD2_MOUSE
xiphophorus_groups/OG0005211.fa:1:>sp|Q96BR5|COA7_HUMAN
xiphophorus_groups/OG0005211.fa:6:>sp|Q921H9|COA7_MOUSE
xiphophorus_groups/OG0005221.fa:1:>sp|Q9NUT2|MITOS_HUMAN
xiphophorus_groups/OG0005221.fa:15:>sp|Q9CXJ4|MITOS_MOUSE
xiphophorus_groups/OG0005223.fa:1:>sp|Q9UII2|ATIF1_HUMAN
xiphophorus_groups/OG0005223.fa:4:>sp|O35143|ATIF1_MOUSE
xiphophorus_groups/OG0005226.fa:1:>sp|O00411|RPOM_HUMAN
xiphophorus_groups/OG0005226.fa:23:>sp|Q8BKF1|RPOM_MOUSE
xiphophorus_groups/OG0005227.fa:1:>sp|O75648|MTU1_HUMAN
xiphophorus_groups/OG0005227.fa:10:>sp|Q9DAT5|MTU1_MOUSE
xiphophorus_groups/OG0005239.fa:1:>sp|Q53S33|BOLA3_HUMAN
xiphophorus_groups/OG0005239.fa:4:>sp|Q8CEI1|BOLA3_MOUSE
xiphophorus_groups/OG0005267.fa:1:>sp|O43674|NDUB5_HUMAN
xiphophorus_groups/OG0005267.fa:6:>sp|Q9CQH3|NDUB5_MOUSE
xiphophorus_groups/OG0005277.fa:1:>sp|Q04837|SSBP_HUMAN
xiphophorus_groups/OG0005277.fa:5:>sp|Q9CYR0|SSBP_MOUSE
xiphophorus_groups/OG0005282.fa:1:>sp|Q5JTJ3|COA6_HUMAN
xiphophorus_groups/OG0005282.fa:5:>sp|Q8BGD8|COA6_MOUSE
xiphophorus_groups/OG0005292.fa:1:>sp|Q8IVS8|GLCTK_HUMAN
xiphophorus_groups/OG0005292.fa:11:>sp|Q8QZY2|GLCTK_MOUSE
xiphophorus_groups/OG0005306.fa:1:>sp|Q9Y606|TRUA_HUMAN
xiphophorus_groups/OG0005306.fa:10:>sp|Q9WU56|TRUA_MOUSE
xiphophorus_groups/OG0005312.fa:1:>sp|P09417|DHPR_HUMAN
xiphophorus_groups/OG0005312.fa:7:>sp|Q8BVI4|DHPR_MOUSE
xiphophorus_groups/OG0005337.fa:1:>sp|Q96DC8|ECHD3_HUMAN
xiphophorus_groups/OG0005337.fa:8:>sp|Q9D7J9|ECHD3_MOUSE
xiphophorus_groups/OG0005338.fa:1:>sp|Q96EY8|MMAB_HUMAN
xiphophorus_groups/OG0005338.fa:7:>sp|Q9D273|MMAB_MOUSE
xiphophorus_groups/OG0005340.fa:1:>sp|Q9BXR0|TGT_HUMAN
xiphophorus_groups/OG0005340.fa:9:>sp|Q9JMA2|TGT_MOUSE
xiphophorus_groups/OG0005343.fa:1:>sp|Q9H2K0|IF3M_HUMAN
xiphophorus_groups/OG0005343.fa:7:>sp|Q9CZD5|IF3M_MOUSE
xiphophorus_groups/OG0005346.fa:1:>sp|Q9NU23|LYRM2_HUMAN
xiphophorus_groups/OG0005346.fa:4:>sp|Q8R033|LYRM2_MOUSE
xiphophorus_groups/OG0005358.fa:1:>sp|P13073|COX41_HUMAN
xiphophorus_groups/OG0005358.fa:5:>sp|P19783|COX41_MOUSE
xiphophorus_groups/OG0005362.fa:1:>sp|P51687|SUOX_HUMAN
xiphophorus_groups/OG0005362.fa:12:>sp|Q8R086|SUOX_MOUSE
xiphophorus_groups/OG0005405.fa:1:>sp|Q15118|PDK1_HUMAN
xiphophorus_groups/OG0005405.fa:10:>sp|Q8BFP9|PDK1_MOUSE
xiphophorus_groups/OG0005432.fa:1:>sp|Q9Y2Z4|SYYM_HUMAN
xiphophorus_groups/OG0005432.fa:10:>sp|Q8BYL4|SYYM_MOUSE
xiphophorus_groups/OG0005438.fa:1:>sp|P08574|CY1_HUMAN
xiphophorus_groups/OG0005438.fa:8:>sp|Q9D0M3|CY1_MOUSE
xiphophorus_groups/OG0005449.fa:1:>sp|Q16595|FRDA_HUMAN
xiphophorus_groups/OG0005449.fa:6:>sp|O35943|FRDA_MOUSE
xiphophorus_groups/OG0005460.fa:1:>sp|Q96E52|OMA1_HUMAN
xiphophorus_groups/OG0005460.fa:11:>sp|Q9D8H7|OMA1_MOUSE
xiphophorus_groups/OG0005479.fa:1:>sp|O76031|CLPX_HUMAN
xiphophorus_groups/OG0005479.fa:13:>sp|Q9JHS4|CLPX_MOUSE
xiphophorus_groups/OG0005485.fa:1:>sp|P49773|HINT1_HUMAN
xiphophorus_groups/OG0005485.fa:5:>sp|P70349|HINT1_MOUSE
xiphophorus_groups/OG0005488.fa:1:>sp|Q13405|RM49_HUMAN
xiphophorus_groups/OG0005488.fa:5:>sp|Q9CQ40|RM49_MOUSE
xiphophorus_groups/OG0005497.fa:1:>sp|Q86UT6|NLRX1_HUMAN
xiphophorus_groups/OG0005497.fa:19:>sp|Q3TL44|NLRX1_MOUSE
xiphophorus_groups/OG0005502.fa:1:>sp|Q8NC60|NOA1_HUMAN
xiphophorus_groups/OG0005502.fa:14:>sp|Q9JJG9|NOA1_MOUSE
xiphophorus_groups/OG0005517.fa:1:>sp|Q9Y399|RT02_HUMAN
xiphophorus_groups/OG0005517.fa:7:>sp|Q924T2|RT02_MOUSE
xiphophorus_groups/OG0005527.fa:1:>sp|P24752|THIL_HUMAN
xiphophorus_groups/OG0005527.fa:10:>sp|Q8QZT1|THIL_MOUSE
xiphophorus_groups/OG0005537.fa:1:>sp|Q5EBM0|CMPK2_HUMAN
xiphophorus_groups/OG0005537.fa:10:>sp|Q3U5Q7|CMPK2_MOUSE
xiphophorus_groups/OG0005570.fa:1:>sp|P42765|THIM_HUMAN
xiphophorus_groups/OG0005570.fa:9:>sp|Q8BWT1|THIM_MOUSE
xiphophorus_groups/OG0005574.fa:1:>sp|Q15031|SYLM_HUMAN
xiphophorus_groups/OG0005574.fa:18:>sp|Q8VDC0|SYLM_MOUSE
xiphophorus_groups/OG0005579.fa:1:>sp|Q86YH6|DLP1_HUMAN
xiphophorus_groups/OG0005579.fa:9:>sp|Q33DR3|DLP1_MOUSE
xiphophorus_groups/OG0005585.fa:1:>sp|Q8N3R3|TCAIM_HUMAN
